"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Seattle Institute of Oriental Medicine","444 NE Ravenna Blvd-Ste 208, Seattle, Washington 98115-6467","www.siom.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","City: Large","No","22","","NA","NA","Fall 2011","NA","-","439914","03280300"
"Seattle Pacific University","3307 3rd Ave W, Seattle, Washington 98119-1997","www.spu.edu","4-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","Yes","4061","3095","69%","NA","Fall 2011","$31,078","-","236577","00378800"
"Seattle University","900 Broadway, Seattle, Washington 98122-4340","www.seattleu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","7487","4657","75%","NA","Fall 2011","$35,581","-","236595","00379000"
"Shoreline Community College","16101 Greenwood Ave N, Shoreline, Washington 98133-5696","www.shoreline.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","5805","5805","31%","20%","Fall 2014","$6,321","-","236610","00379100"
"Skagit Valley College","2405 E. College Way, Mount Vernon, Washington 98273","www.skagit.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","Yes","5086","5086","21%","18%","Fall 2011","$7,937","-","236638","00379200"
"South Puget Sound Community College","2011 Mottman Rd SW, Olympia, Washington 98512-6292","www.spscc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","4861","4861","38%","17%","Fall 2014","$7,488","-","236656","00537200"
"South Seattle College","6000 16th Ave SW, Seattle, Washington 98106-1499","southseattle.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","6346","6346","41%","16%","Fall 2011","$8,433","-","236504","00970600"
"Spokane Community College","1810 North Greene Street, Spokane, Washington 99217-5399","www.scc.spokane.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","10100","10100","26%","16%","Fall 2011","$4,880","-","236692","00379300"
"Spokane Falls Community College","3410 W Fort George Wright Dr, Spokane, Washington 99224-5288","www.spokanefalls.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Midsize","No","5639","5639","22%","27%","Fall 2011","$6,528","-","236708","00954400"
"Studio Beauty School","10001 E Sprague Ave, Spokane Valley, Washington 99206","www.studiobeautyschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","52","52","73%","NA","2014-15","$17,186","Cosmetology/Cosmetologist, General","485476","04231000"
"Stylemaster College of Hair Design","1224 Commerce Ave., Longview, Washington 98632-3027","stylemasters.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","78","78","90%","NA","2014-15","$7,053","Cosmetology/Cosmetologist, General","236744","02202200"
"Summit Salon Academy","3702 S Fife Street Ste B102, Tacoma, Washington 98409","www.summitsalonacademy.edu","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Midsize","No","123","123","78%","NA","Fall 2014","$12,246","Cosmetology/Cosmetologist, General","459550","04170100"
"Sunnyside Beauty Academy","440 Barnard Blvd Ste 2, Sunnyside, Washington 98944","sunnysidebeautyacademy.com","< 2-year, Private for-profit","","Town: Distant","","8","8","NA","NA","2014-15","NA","-","451644","04120000"
"Tacoma Community College","6501 S 19th St, Tacoma, Washington 98466-6100","www.tacomacc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","6699","6699","25%","19%","Fall 2011","$5,959","-","236753","00379600"
"The Art Institute of Seattle","2323 Elliott Ave, Seattle, Washington 98121-1622","www.artinstitutes.edu/seattle","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","Yes","965","965","31%","1%","Fall 2011","$23,764","-","234492","02291300"
"The Evergreen State College","2700 Evergreen Pkwy NW, Olympia, Washington 98505-0001","www.evergreen.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Midsize","Yes","4089","3787","57%","NA","Fall 2011","$12,407","-","235167","00815500"
"The Seattle School of Theology & Psychology","2501 Elliott Avenue, Seattle, Washington 98121","www.theseattleschool.edu","4-year, Private not-for-profit","Master's degree","City: Large","No","300","","NA","NA","Fall 2011","NA","-","441131","03466400"
"Tint School of Makeup & Cosmetology-Seattle","300 Pine Street, Seattle, Washington 98101-1596","tintseattlecosmetologyschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","114","114","65%","NA","2014-15","$10,437","Cosmetology/Cosmetologist, General","484826","01293201"
"Toni & Guy Hairdressing Academy-Shoreline","18336 Aurora Ave. North Suite 103, Shoreline, Washington 98133","www.toniguy.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","78","78","63%","NA","2014-15","$15,956","Cosmetology/Cosmetologist, General","235352","01249600"
"University of Phoenix-Washington","7100 Fort Dent Way, Tukwila, Washington 98188-8553","www.phoenix.edu","4-year, Private for-profit","Less than one year certificate|Bachelor's degree|Master's degree","Suburb: Large","No","242","208","15%","NA","Fall 2011","$13,875","-","432223","52098845"
"University of Puget Sound","1500 N. Warner Street, Tacoma, Washington 98416","www.pugetsound.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Midsize","Yes","2791","2508","78%","16%","Fall 2011","$40,065","-","236328","00379700"
"University of Washington-Bothell Campus","18115 Campus Way NE, Bothell, Washington 98011-8246","www.uwb.edu","4-year, Public","Bachelor's degree|Master's degree","Suburb: Large","Yes","5734","5112","64%","NA","Fall 2011","$7,536","-","377555","00379802"
"University of Washington-Seattle Campus","1400 NE Campus Parkway, Seattle, Washington 98195-4550","www.washington.edu","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice|Doctor's degree - other","City: Large","Yes","45591","30933","84%","NA","Fall 2011","$9,443","-","236948","00379800"
"University of Washington-Tacoma Campus","1900 Commerce St, Tacoma, Washington 98402-3100","www.tacoma.uw.edu/","4-year, Public","Bachelor's degree|Master's degree|Doctor's degree","City: Midsize","Yes","4987","4285","58%","NA","Fall 2011","$8,674","-","377564","00379801"
"Victoria's Academy of Cosmetology","23 W. 1st Ave., Kennewick, Washington 99336","www.victoriasacademy.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","82","82","88%","NA","2014-15","$12,050","Cosmetology/Cosmetologist, General","451626","04127200"
"Walla Walla Community College","500 Tausick Way, Walla Walla, Washington 99362-9267","https://www.wwcc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","4327","4327","42%","10%","Fall 2014","$6,107","-","236887","00500600"
"Walla Walla University","204 S College Ave, College Place, Washington 99324-1198","www.wallawalla.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Small","Yes","1894","1700","61%","26%","Fall 2011","$23,940","-","236896","00379900"
"Washington State University","French Administration Building, Pullman, Washington 99164-5910","wsu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","30142","24904","62%","NA","Fall 2011","$17,885","-","236939","00380000"
"Washington State University-Spokane","412 East Spokane Falls Blvd, Spokane, Washington 99202-9600","https://spokane.wsu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","","","","NA","NA","Fall 2011","NA","-","23693902","00380001"
"Washington State University-Tri Cities","2710 Crimson Way, Richland, Washington 99354-1671","https://www.tricity.wsu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Small","No","","","NA","NA","Fall 2011","NA","-","23693903","00380002"
"Washington State University-Vancouver","14204 NE Salmon Creek Avenue, Vancouver, Washington 98686-9600","https://www.vancouver.wsu.edu/","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","","","NA","NA","Fall 2011","NA","-","23693901","00380003"
"Wenatchee Valley College","1300 Fifth St, Wenatchee, Washington 98801-1799","www.wvc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","Yes","3440","3440","28%","15%","Fall 2011","$7,376","-","236975","00380100"
"Western Washington University","516 High Street, Bellingham, Washington 98225-9008","www.wwu.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","15574","14592","69%","NA","Fall 2011","$16,117","-","237011","00380200"
